Input,Expected Output,Expected Files
"How do I create a basic MemAgent with OpenAI and MongoDB?","To create a basic MemAgent, you need to: 1) Set up MongoDB configuration with MongoDBConfig(uri='your-uri'), 2) Create MongoDBProvider with the config, 3) Initialize MemAgent with OpenAI model and memory provider. Example: mongodb_config = MongoDBConfig(uri='your-uri'); memory_provider = MongoDBProvider(mongodb_config); agent = MemAgent(model=OpenAI(model='gpt-4'), instruction='You are a helpful assistant.', memory_provider=memory_provider)","README.md,src/memorizz/memagent.py,src/memorizz/memory_provider/mongodb/provider.py,src/memorizz/llms/openai.py,examples/memagent_single_agent.ipynb"
"What are the different memory types available in MemoRizz?","MemoRizz supports 9 memory types defined in the MemoryType enum: PERSONAS (agent personalities), TOOLBOX (function definitions), SHORT_TERM_MEMORY (temporary processing), LONG_TERM_MEMORY (persistent knowledge), CONVERSATION_MEMORY (chat history), WORKFLOW_MEMORY (multi-step processes), MEMAGENT (agent configurations), SHARED_MEMORY (multi-agent communication), and SUMMARIES (compressed interaction history).","src/memorizz/memory_provider/memory_type.py,src/memorizz/__init__.py,README.md,src/memorizz/memagent.py,src/memorizz/memory_provider/base.py"
"How do I register a function as a tool in the toolbox?","Use the @toolbox decorator or call toolbox.register_tool(). Example: @toolbox def my_function(param: str) -> str: '''Function description''' return result. The function will be automatically converted to LLM-callable format with proper schema generation from type hints and docstrings.","src/memorizz/toolbox/toolbox.py,src/memorizz/toolbox/tool_schema.py,examples/toolbox.ipynb,README.md,src/memorizz/memagent.py"
"What persona role types are predefined in the system?","MemoRizz provides 5 predefined role types in the RoleType enum: GENERAL (versatile support), ASSISTANT (personal support), CUSTOMER_SUPPORT (issue resolution), TECHNICAL_EXPERT (technical advice), and RESEARCHER (complex analysis). Each has predefined goals and background descriptions.","src/memorizz/persona/role_type.py,src/memorizz/persona/persona.py,examples/persona.ipynb,README.md,src/memorizz/__init__.py"
"How do I set up MongoDB Atlas with vector search for MemoRizz?","You need to: 1) Create MongoDB Atlas cluster, 2) Enable Vector Search, 3) Create database and collection, 4) Get connection string, 5) Use MongoDBConfig(uri='connection-string') and MongoDBProvider(config). The provider automatically handles vector index creation for semantic search.","README.md,src/memorizz/memory_provider/mongodb/provider.py,src/memorizz/embeddings/openai.py,examples/memagent_single_agent.ipynb,docs/databases/"
"How does the multi-agent orchestration work?","Multi-agent orchestration uses MultiAgentOrchestrator with shared memory. Create delegates, instantiate orchestrator with root agent and delegates, then execute workflows. Supports both flat and hierarchical coordination with unified shared memory tracking across all agents.","src/memorizz/multi_agent_orchestrator.py,src/memorizz/shared_memory/shared_memory.py,src/memorizz/task_decomposition.py,examples/memagents_multi_agents.ipynb,README.md"
"What application modes are available and how do they work?","Application modes are defined in ApplicationMode enum and control memory type allocation. Each mode has specific memory type configurations via ApplicationModeConfig. The DEFAULT mode provides basic memory setup, while other modes can be customized for specific use cases.","src/memorizz/memory_component/application_mode.py,src/memorizz/memagent.py,src/memorizz/memory_component/memory_component.py,src/memorizz/memory_provider/memory_type.py,README.md"
"How do I add and retrieve long-term memory knowledge?","Use agent.add_long_term_memory(content, namespace) to store knowledge, agent.retrieve_long_term_memory(knowledge_id) to get specific entries, or search semantically. The knowledge base supports CRUD operations and semantic search via vector embeddings.","src/memorizz/long_term_memory/knowledge_base.py,src/memorizz/memagent.py,examples/knowledge_base.ipynb,README.md,src/memorizz/memory_provider/mongodb/provider.py"
"How does the conversation memory component work?","ConversationMemoryComponent manages chat history with roles (USER, ASSISTANT, TOOL). It stores messages with timestamps, supports retrieval by conversation_id, and integrates with the memory provider for persistence across sessions.","src/memorizz/memory_component/conversational_memory_component.py,src/memorizz/memory_component/memory_component.py,src/memorizz/memagent.py,src/memorizz/memory_provider/memory_type.py,examples/memagent_single_agent.ipynb"
"What's the difference between semantic cache and long-term memory?","Semantic cache (in short_term_memory) provides temporary storage for frequently accessed items with semantic similarity matching, while long-term memory offers persistent knowledge storage with CRUD operations. Both use vector embeddings but serve different purposes and lifespans.","src/memorizz/short_term_memory/semantic_cache.py,src/memorizz/long_term_memory/knowledge_base.py,src/memorizz/memory_provider/memory_type.py,README.md,src/memorizz/memagent.py"
"How do I create a custom persona for my agent?","Create a Persona object with name, role (RoleType enum or custom), goals, and background. Use agent.set_persona(persona) to apply it. The persona influences agent behavior and responses according to the defined characteristics.","src/memorizz/persona/persona.py,src/memorizz/persona/role_type.py,examples/persona.ipynb,src/memorizz/memagent.py,README.md"
"How does tool discovery work in the toolbox?","Tools are semantically indexed using embeddings generated from function metadata (name, docstring, parameters). When agents need tools, they search using natural language queries that match against these embeddings to find relevant functions automatically.","src/memorizz/toolbox/toolbox.py,src/memorizz/toolbox/tool_schema.py,src/memorizz/embeddings/openai.py,examples/toolbox.ipynb,README.md"
"What are the required dependencies for MemoRizz?","MemoRizz requires Python 3.7+ with dependencies: openai (LLM integration), pymongo (MongoDB connectivity), langchain_ollama and ollama (local embeddings), and numpy (vector operations). Install via 'pip install memorizz'.","pyproject.toml,README.md,src/memorizz/embeddings/openai.py,src/memorizz/embeddings/ollama.py,src/memorizz/llms/openai.py"
"How do I implement error handling in my MemAgent?","MemAgent includes built-in error handling via try-catch blocks in core methods. You can extend error handling by overriding methods or implementing custom error callbacks. The framework logs errors and provides graceful degradation for memory operations.","src/memorizz/memagent.py,src/memorizz/memory_provider/mongodb/provider.py,src/memorizz/toolbox/toolbox.py,src/memorizz/memory_component/memory_component.py,examples/memagent_single_agent.ipynb"
"How does context window management work?","Context Window Management (CWM) automatically manages token limits by intelligently truncating or summarizing conversation history when approaching model limits. It prioritizes recent interactions and important context while maintaining conversation coherence.","src/memorizz/context_window_management/cwm.py,src/memorizz/memagent.py,src/memorizz/memory_component/summary_component.py,README.md,src/memorizz/memory_provider/memory_type.py"
"What's the workflow memory system and how do I use it?","Workflow memory tracks multi-step processes with WorkflowOutcome objects. Create workflows with unique IDs, store intermediate results, and track completion status. Useful for complex tasks requiring state management across multiple interactions.","src/memorizz/workflow/workflow.py,src/memorizz/memory_provider/memory_type.py,examples/workflow.ipynb,src/memorizz/memagent.py,README.md"
"How do I save and load existing agents?","Use agent.save() to persist agent state to memory provider, and MemAgent.load(agent_id, memory_provider) to restore agents. Agents are stored with their configuration, persona, tools, and memory references for complete state recovery.","src/memorizz/memagent.py,src/memorizz/memory_provider/mongodb/provider.py,src/memorizz/memory_provider/memory_type.py,examples/memagent_single_agent.ipynb,README.md"
"What embedding providers are supported?","MemoRizz supports OpenAI embeddings (text-embedding-3-small/large) and Ollama for local embeddings. OpenAI is used by default for production, while Ollama enables offline/private deployments with models like nomic-embed-text.","src/memorizz/embeddings/openai.py,src/memorizz/embeddings/ollama.py,examples/test-openai-embed.ipynb,examples/test-ollama-embed.ipynb,README.md"
"How do I configure different memory types for my agent?","Override default memory types by passing memory_types list to MemAgent constructor, or use application_mode for predefined configurations. Memory types determine which storage mechanisms are active for different data categories.","src/memorizz/memagent.py,src/memorizz/memory_component/application_mode.py,src/memorizz/memory_provider/memory_type.py,src/memorizz/memory_component/memory_component.py,README.md"
"What's the difference between delegates and shared memory?","Delegates are specialized agents that can be called by a root agent for specific tasks, while shared memory provides a communication channel for multi-agent coordination. Delegates maintain their own memory but can share context via shared memory sessions.","src/memorizz/multi_agent_orchestrator.py,src/memorizz/shared_memory/shared_memory.py,src/memorizz/memagent.py,examples/memagents_multi_agents.ipynb,README.md"
"How do I implement tool access control?","Tool access is controlled via the tool_access parameter ('private' by default). Tools can be private to specific agents or shared across agent instances. This is managed through the toolbox registration and memory provider storage system.","src/memorizz/memagent.py,src/memorizz/toolbox/toolbox.py,src/memorizz/memory_provider/mongodb/provider.py,examples/toolbox.ipynb,README.md"
"What's the schema generation system for tools?","Tool schemas are automatically generated from function signatures using ToolSchemaType. The system analyzes type hints, docstrings, and parameters to create OpenAI function calling compatible schemas with proper validation and descriptions.","src/memorizz/toolbox/tool_schema.py,src/memorizz/toolbox/toolbox.py,examples/toolbox.ipynb,src/memorizz/memagent.py,README.md"
"How does the summary component work for memory management?","The summary component automatically compresses conversation history when memory limits are approached. It creates semantic summaries of past interactions while preserving key information, stored in the SUMMARIES memory type for efficient retrieval.","src/memorizz/memory_component/summary_component.py,src/memorizz/context_window_management/cwm.py,src/memorizz/memory_provider/memory_type.py,src/memorizz/memagent.py,README.md"
